YEAR,MONTH,DAY,PROVINCE,FIRE_ID,LATITUDE,LONGITUDE,START_DATE,DETECT_DAT,CAUSE,SIZE,FIRE_REGIO,FIRE_ZONE,ECOZONE,ECOREGION,ECODISTRIC
1960,5,30,PQ,280021,50.48020000,-70.6019000,5/30/60,5/31/60,LTG,526.10,28,INT,6,101,435
1960,5,30,PQ,280023,50.45610000,-71.2051000,5/30/60,5/30/60,LTG,202.35,28,INT,6,101,437
1961,7,20,PQ,110006,51.30670000,-68.7694000,7/20/61,7/20/61,LTG,1957.91,11,INT,6,101,432
1961,7,22,PQ,110007,51.42310000,-68.7446000,7/22/61,7/22/61,LTG,2237.56,11,INT,6,101,432
1961,7,18,PQ,60051,50.61750000,-71.1014000,7/18/61,7/20/61,LTG,4910.56,6,INT,6,101,437
1962,7,18,PQ,60034,51.22590000,-70.6415000,7/18/62,7/19/62,LTG,777.01,6,INT,6,101,435
1963,6,22,PQ,260072,48.64290000,-69.7730000,6/22/63,6/24/63,LTG,7770.00,26,INT,6,101,440
1963,6,18,PQ,60042,50.71050000,-70.6524000,6/18/63,6/18/63,LTG,259.00,6,INT,6,101,433
1964,7,7,PQ,60017,50.87500000,-71.4580000,7/7/64,8/7/64,LTG,984.22,6,EXT,6,101,433
1964,7,7,PQ,60018,50.87500000,-71.5420000,7/7/64,8/7/64,LTG,3600.16,6,EXT,6,101,433
1966,6,19,PQ,260044,51.43360000,-66.7932000,6/19/66,6/19/66,LTG,1641.80,26,EXT,6,101,434
1966,6,18,PQ,260050,51.91270000,-67.1191000,6/18/66,6/21/66,LTG,708.20,26,EXT,6,101,432
1966,8,10,PQ,60010,51.10100000,-69.3911000,8/10/66,8/11/66,LTG,259.00,6,INT,6,101,435
1967,7,6,PQ,260095,51.53540000,-70.1530000,7/6/67,7/6/67,LTG,1212.30,26,EXT,6,101,432
1967,6,30,PQ,260097,51.31830000,-69.5008000,6/30/67,6/30/67,LTG,1899.20,26,EXT,6,101,432
1967,6,30,PQ,260099,51.37620000,-69.6243000,6/30/67,6/30/67,LTG,8324.60,26,EXT,6,101,432
