ID,lat,long,samplingDate,fireDate,status,weight
1,49.21298,-68.4426,2004,1759,0,1.6
2,49.33618,-68.76995,2004,1855,0,1.6
3,49.72644,-68.483,2004,1923,1,1.6
4,49.94262,-68.74809,2004,1645,0,0.31
5,49.95407,-68.76481,2004,1645,1,0.2
6,50.06534,-68.76459,2004,1735,1,0.8
7,50.06453,-68.77826,2004,1730,0,0.8
8,49.74735,-68.68515,2004,1830,0,0.31
9,49.7529,-68.68263,2004,1964,1,0.1
10,49.42351,-68.70466,2004,1898,0,0.8
11,49.43468,-68.70077,2004,1826,0,0.8
12,49.83025,-68.53376,2004,1844,0,0.8
13,49.8456,-68.52261,2004,1778,0,0.8
14,49.46022,-68.87308,2004,1814,1,1.6
15,49.9453,-68.5924,2004,1896,1,1.6
16,49.94106,-68.90388,2004,1825,1,1.6
17,50.07924,-68.90438,2004,1766,0,0.31
18,50.08457,-68.89528,2004,1720,0,0.1
19,50.02364,-68.38503,2004,1896,1,0.1
20,50.03003,-68.40648,2004,1896,1,0.31
21,50.15558,-68.3806,2004,1780,1,0.2
22,50.15547,-68.37695,2004,1780,1,0.31
23,50.15861,-68.08723,2004,1745,0,0.8
24,50.15809,-68.09912,2004,1751,0,0.31
25,50.12484,-67.96327,2004,1896,1,0.2
26,49.57945,-67.84574,2004,1844,1,0.8
27,49.58332,-67.86366,2004,1830,0,0.1
28,50.04001,-68.20434,2004,1928,1,0.62
29,50.03425,-67.88097,2004,1971,1,1.6
30,49.93077,-67.76674,2004,1768,0,0.8
31,49.95406,-67.81104,2004,1798,0,0.8
32,49.93417,-68.05419,2004,1759,0,0.62
33,49.68668,-68.10065,2004,1955,1,0.1
34,49.69557,-68.11969,2004,1823,0,0.8
35,49.54712,-67.67871,2004,1868,0,0.62
36,49.57735,-67.5862,2004,1813,1,1.6
37,49.68066,-67.45403,2004,1822,0,0.2
38,49.80754,-67.29271,2004,1880,0,1.6
39,50.17258,-67.29747,2004,1801,0,1.6
40,50.1214,-67.09435,2004,,,1.6
41,49.99363,-67.34922,2004,1773,0,0.8
42,49.98703,-67.27889,2004,1726,0,0.8
43,49.84156,-67.45542,2004,1880,0,0.62
44,50.09679,-67.3174,2004,1776,0,0.62
45,49.93064,-67.47838,2004,1829,1,0.62
46,49.95875,-67.15704,2004,1788,0,1.6
47,49.53763,-67.35708,2004,1873,0,0.31
48,49.53835,-67.35208,2004,1876,0,0.8
49,50.21111,-68.98278,2004,1856,1,1
50,50.17898,-68.72194,2004,1914,1,1
51,50.23944,-68.52444,2004,1791,1,1
52,50.20917,-67.7125,2004,1854,0,1
53,50.13778,-67.50722,2004,1870,0,1
54,50.19222,-67.12222,2004,1828,0,1
55,50.02694,-68.54139,2004,1790,1,1
56,50.05778,-67.63194,2004,1854,0,1
57,50.00528,-67.5725,2004,1856,0,1
58,49.95,-68.31528,2004,1896,1,1
59,49.96583,-67.86667,2004,1874,0,1
60,49.77333,-68.98444,2004,1941,1,1
61,49.84987,-68.37061,2004,1896,1,1
62,49.7673,-68.07691,2004,1896,1,1
63,49.82343,-67.96667,2004,1862,1,1
64,49.83667,-67.62333,2004,1916,0,1
65,49.83317,-67.04866,2004,1919,1,1
66,49.68241,-68.91944,2004,1941,1,1
67,49.62778,-68.74389,2004,1894,0,1
68,49.66767,-68.24117,2004,1896,1,1
69,49.65417,-67.97306,2004,1882,0,1
70,49.69157,-67.66278,2004,1847,1,1
71,49.70861,-67.28611,2004,1847,0,1
72,49.66811,-67.18112,2004,1918,0,1
73,49.51222,-68.80306,2004,1831,0,1
74,49.55111,-68.68583,2004,1953,0,1
75,49.59097,-68.57289,2004,1941,1,1
76,49.51681,-68.26539,2004,1945,1,1
77,49.62074,-68.01973,2004,1946,1,1
78,49.38944,-68.54,2004,1876,0,1
79,49.40197,-68.22283,2004,1945,1,1
80,49.38556,-68.10083,2004,1942,0,1
81,49.492,-67.8657,2004,1945,1,1
82,49.45125,-67.72401,2004,1921,0,1
83,49.48343,-67.48278,2004,1880,0,1
84,49.45127,-67.35436,2004,1941,1,1
85,49.27021,-68.95635,2004,1992,1,1
86,49.32577,-68.4012,2004,1899,0,1
87,49.33278,-68.39556,2004,1914,0,1
88,49.29643,-68.1164,2004,1862,1,1
89,49.32259,-67.96635,2004,1863,0,1
90,49.33107,-67.60471,2004,1933,1,1
91,49.2177,-68.99543,2004,1991,1,1
92,49.23758,-68.60021,2004,1915,0,1
93,49.24642,-68.26893,2004,1941,1,1
94,49.10947,-68.83973,2004,1793,1,1
95,49.08324,-68.73305,2004,1882,0,1
